,datachange_notifications,period,queuesize,change_int
751,14731200,10.0,1.0,10.0
752,11303600,10.0,1.0,10.0
753,12053200,10.0,1.0,10.0
754,12318200,10.0,1.0,10.0
755,14123300,10.0,1.0,10.0
756,10870000,10.0,1.0,10.0
757,13399100,10.0,1.0,10.0
758,11992200,10.0,1.0,10.0
759,14303700,10.0,1.0,10.0
760,11402700,10.0,1.0,10.0
761,12013900,10.0,1.0,10.0
762,12791200,10.0,1.0,10.0
763,14160200,10.0,1.0,10.0
764,10835300,10.0,1.0,10.0
765,13052100,10.0,1.0,10.0
766,13068700,10.0,1.0,10.0
767,13742100,10.0,1.0,10.0
768,11598500,10.0,1.0,10.0
769,12678700,10.0,1.0,10.0
770,12020800,10.0,1.0,10.0
771,13362100,10.0,1.0,10.0
